id,rn,pre_since_opened,pre_since_confirmed,pre_pterm,pre_fterm,pre_till_pclose,pre_till_fclose,pre_loans_credit_limit,pre_loans_next_pay_summ,pre_loans_outstanding,pre_loans_total_overdue,pre_loans_max_overdue_sum,pre_loans_credit_cost_rate,pre_loans5,pre_loans530,pre_loans3060,pre_loans6090,pre_loans90,is_zero_loans5,is_zero_loans530,is_zero_loans3060,is_zero_loans6090,is_zero_loans90,pre_util,pre_over2limit,pre_maxover2limit,is_zero_util,is_zero_over2limit,is_zero_maxover2limit,enc_paym_0,enc_paym_1,enc_paym_2,enc_paym_3,enc_paym_4,enc_paym_5,enc_paym_6,enc_paym_7,enc_paym_8,enc_paym_9,enc_paym_10,enc_paym_11,enc_paym_12,enc_paym_13,enc_paym_14,enc_paym_15,enc_paym_16,enc_paym_17,enc_paym_18,enc_paym_19,enc_paym_20,enc_paym_21,enc_paym_22,enc_paym_23,enc_paym_24,enc_loans_account_holder_type,enc_loans_credit_status,enc_loans_credit_type,enc_loans_account_cur,pclose_flag,fclose_flag
10,6,4,9,4,16,1,15,3,2,3,0,2,9,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,4,1,1,0
10,7,4,8,7,6,5,7,5,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
10,8,5,11,12,15,11,0,8,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
10,9,17,2,11,13,8,8,9,3,5,0,2,5,6,16,5,4,8,1,1,1,1,1,10,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,0
10,10,17,1,2,14,2,15,3,2,3,0,2,13,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,4,1,0,0
10,11,3,17,9,0,11,0,13,2,3,0,2,9,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
10,12,3,12,4,3,16,12,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,5,1,0,0
10,13,11,9,17,16,8,8,1,6,4,0,2,2,6,16,5,4,8,1,1,1,1,1,10,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,3,4,1,2,4,1,0,0
10,14,2,9,17,8,8,11,17,6,2,0,2,2,6,16,5,4,8,1,1,1,1,1,9,2,17,0,1,1,0,0,0,0,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,1,1,0,1
10,15,1,3,4,3,15,14,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
10,16,1,3,4,3,15,14,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
10,17,1,3,4,3,15,14,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
10,18,1,3,4,3,15,14,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
10,19,9,9,4,8,1,11,12,6,4,0,2,5,6,16,5,4,8,1,1,1,1,1,1,2,17,0,1,1,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,1,1
10,20,7,10,2,14,8,8,6,2,4,0,2,2,6,16,5,4,8,1,1,1,1,1,15,2,17,0,1,1,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,0
11,1,13,9,4,5,1,3,1,1,3,0,2,8,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
11,2,6,8,2,10,16,7,11,2,3,0,2,4,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
11,3,18,9,4,8,1,11,16,4,2,0,1,1,6,6,5,4,8,1,0,1,1,1,6,2,3,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,2,1,1,0,4,1,2,3,1,1,1
11,4,3,17,7,6,11,0,13,1,3,0,2,10,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,1,0,0,0,0,0,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
11,5,3,13,16,9,15,14,16,2,3,0,2,8,6,16,5,4,8,1,0,0,0,0,16,2,17,1,1,1,3,3,3,3,2,1,1,0,1,1,0,1,1,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
11,6,9,16,15,8,1,11,3,2,3,0,2,9,6,16,5,4,8,1,1,1,1,1,12,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,1
12,1,15,1,0,1,2,15,4,2,3,0,2,4,6,16,5,4,8,1,0,1,1,1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,1,0,0
12,2,14,8,6,1,0,4,4,2,3,0,2,4,6,16,5,4,8,1,0,1,1,1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1,3,3,1,0,0
12,3,14,8,6,13,0,10,17,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,1,0,0
12,4,13,9,4,15,1,5,13,2,3,0,3,9,6,16,5,4,8,1,0,1,1,1,16,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,3,3,3,4,3,3,3,4,1,3,4,1,1,0
12,5,13,9,4,8,1,11,11,0,5,0,2,8,6,16,5,4,8,1,1,1,1,1,15,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,3,1,1,1
12,6,13,9,4,9,1,5,19,6,3,0,2,8,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
12,7,6,9,7,11,3,5,19,4,3,0,2,3,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
12,8,18,9,15,5,5,10,12,1,3,0,2,13,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
12,9,18,9,16,2,5,7,1,4,3,0,2,5,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
12,10,17,9,4,15,1,0,12,2,3,0,2,10,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,4,3,3,3,4,1,3,4,1,1,0
12,11,1,9,4,8,1,11,11,0,2,0,2,0,6,16,5,4,8,1,1,1,1,1,0,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
12,12,7,1,4,3,2,15,4,2,3,0,2,1,6,16,5,4,8,1,1,1,1,1,9,5,4,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,0,0
13,1,8,9,14,14,13,13,9,4,3,0,2,3,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,4,1,0,0
13,2,0,4,9,12,13,3,10,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
13,3,6,14,6,1,0,4,15,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,0,0
13,4,6,14,8,11,3,5,13,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
13,5,6,5,7,6,3,10,5,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
13,6,4,9,4,16,1,6,11,0,3,0,2,0,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,3,1,1,0
14,1,0,9,16,11,13,3,15,5,3,0,2,11,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
14,2,6,1,0,1,10,4,2,2,3,0,2,11,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,1,3,0,1,0,0
14,3,5,12,14,11,8,7,2,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
14,4,3,0,11,8,12,11,11,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,3,1,0,1
14,5,2,3,3,5,15,14,16,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,1,1,0,0
15,1,6,3,9,0,3,10,3,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,1,1,0,0
15,2,18,11,12,10,5,7,4,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,3,4,1,3,3,1,0,0
15,3,5,9,4,9,1,12,6,6,3,0,2,8,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
15,4,17,9,1,10,12,6,9,3,3,0,1,3,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,4,1,0,0
15,5,2,9,4,9,1,6,17,4,3,0,2,1,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
15,6,1,9,4,8,1,11,16,4,2,0,2,0,6,16,5,4,8,1,1,1,1,1,6,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
15,7,7,9,2,14,8,8,9,0,5,0,2,11,6,16,5,4,8,1,1,1,1,1,1,2,17,0,1,1,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,0
15,8,19,9,2,10,8,8,16,4,2,0,2,2,6,16,5,4,8,1,1,1,1,1,11,2,17,0,1,1,0,0,0,0,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,4,1,0,0
15,9,19,9,4,8,1,11,1,1,4,0,2,0,6,16,5,4,8,1,1,1,1,1,6,2,17,0,1,1,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
16,1,13,9,8,11,13,5,6,1,3,0,3,4,6,16,5,4,8,1,0,1,1,1,16,2,11,1,1,0,0,0,0,0,0,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
16,2,6,9,4,8,1,11,7,3,3,0,3,7,6,16,5,4,8,1,0,1,1,1,4,2,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,1,2,3,1,1,1
16,3,5,10,14,8,8,11,15,4,5,0,2,4,6,16,5,4,8,1,1,1,1,1,5,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,1,0,1
17,1,4,8,8,11,5,10,3,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
17,2,4,9,1,16,2,15,14,3,3,0,2,8,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,4,1,0,0
17,3,7,9,4,8,1,11,16,4,3,0,2,5,6,16,5,4,8,1,1,1,1,1,16,2,17,0,1,1,0,0,0,0,0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
18,1,7,9,4,5,1,15,13,2,3,0,2,2,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
19,1,8,4,1,16,6,13,10,2,3,0,3,4,6,16,5,4,8,0,0,1,1,1,16,2,17,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,4,1,0,0
19,2,15,8,6,1,0,4,8,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,4,1,0,0
19,3,14,4,11,16,13,3,10,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,3,1,0,0
19,4,0,4,1,16,5,10,15,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,5,13,14,17,16,16,12,15,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,6,13,9,4,7,1,15,15,5,3,0,2,0,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,3,1,1,0
19,7,6,14,17,16,11,0,15,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,8,18,8,1,16,15,14,15,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,9,18,9,4,2,1,10,11,0,3,0,2,5,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,3,1,1,0
19,10,4,17,17,14,15,14,9,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,1,0,0
19,11,4,10,14,7,8,8,15,3,5,0,2,2,6,16,5,4,8,1,1,1,1,1,8,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,0,0
19,12,5,9,14,10,8,0,2,5,3,0,2,13,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,3,4,1,3,4,1,0,0
19,13,2,9,1,12,8,6,2,5,3,0,2,3,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
19,14,2,9,14,7,10,8,7,2,3,0,2,7,6,16,5,4,8,1,1,1,1,1,16,2,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,4,3,3,3,4,1,2,3,1,0,0
19,15,9,9,4,8,1,11,15,5,3,0,2,7,6,16,5,4,8,1,1,1,1,1,16,2,17,0,1,1,0,0,0,0,0,0,0,0,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,2,3,1,1,1
19,16,7,9,11,5,14,15,2,5,3,0,2,3,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,4,1,0,0
20,1,8,14,7,6,4,9,13,2,3,0,2,4,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,4,4,1,0,0
20,2,18,3,11,16,15,14,4,2,3,0,2,4,6,16,5,4,8,1,0,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,1,0,0
20,3,5,17,4,3,5,7,4,2,3,0,2,6,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
20,4,5,17,4,3,5,7,4,2,3,0,2,6,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,1,1,1,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
20,5,5,17,4,3,5,7,4,2,3,0,2,6,6,16,5,4,8,1,0,1,1,1,16,2,17,1,1,1,1,1,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
20,6,5,17,4,3,5,7,4,2,3,0,2,2,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
20,7,5,17,4,3,5,7,4,2,3,0,2,6,6,16,5,4,8,1,1,1,1,1,16,2,17,1,1,1,0,0,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,1,3,5,1,0,0
